Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,209.0,211.0,207.0,207.0,202.77444458007812,42212
2021-07-02,207.0,210.5,207.0,209.5,205.223388671875,41451
2021-07-05,210.0,213.5,209.5,210.0,205.71319580078125,68000
2021-07-06,210.0,211.0,208.0,208.5,204.2438201904297,42304
2021-07-07,209.5,209.5,208.0,209.5,205.223388671875,32000
2021-07-08,211.0,211.0,205.0,206.0,201.7948455810547,65250
2021-07-09,207.5,226.5,207.5,226.5,221.8763885498047,1388239
2021-07-12,228.0,239.0,220.0,220.0,215.50906372070312,499111
2021-07-13,217.5,224.5,215.0,215.5,211.1009063720703,145320
2021-07-14,214.5,217.0,213.0,213.5,209.14173889160156,63428
2021-07-15,213.5,215.0,212.0,212.0,207.67237854003906,66362
2021-07-16,210.5,212.0,210.0,210.0,205.71319580078125,34301
2021-07-19,210.0,210.5,208.5,209.0,204.73361206054688,41703
2021-07-20,208.5,210.0,208.0,208.0,203.7540283203125,36145
2021-07-21,209.0,211.5,208.5,208.5,204.2438201904297,45000
2021-07-22,209.0,210.5,208.5,210.5,206.20298767089844,31000
2021-07-23,212.0,212.5,209.0,209.5,205.223388671875,25200
2021-07-26,210.0,210.0,209.0,209.5,205.223388671875,18030
2021-07-27,213.0,213.0,209.0,209.0,204.73361206054688,20001
2021-07-28,209.0,212.0,205.0,212.0,207.67237854003906,70034
2021-07-29,210.0,213.0,208.0,208.0,203.7540283203125,36022
2021-07-30,208.5,208.5,205.5,205.5,201.3050537109375,26001
2021-08-02,206.5,209.5,206.5,208.0,203.7540283203125,20000
2021-08-03,208.5,208.5,206.5,207.5,203.2642364501953,27000
2021-08-04,207.5,208.0,206.5,207.0,202.77444458007812,10002
2021-08-05,208.0,208.0,206.5,206.5,202.28463745117188,6004
2021-08-06,207.0,207.0,205.5,205.5,201.3050537109375,15200
2021-08-09,209.5,209.5,206.0,206.0,201.7948455810547,17000
2021-08-10,206.0,206.0,203.0,203.0,198.85609436035156,26022
2021-08-11,208.0,208.0,200.5,203.0,198.85609436035156,33000
2021-08-12,201.0,205.5,201.0,204.5,200.32545471191406,16000
2021-08-13,201.5,201.5,199.0,199.0,194.937744140625,34000
2021-08-16,199.0,199.0,193.5,196.0,191.9989776611328,17000
2021-08-17,196.0,196.0,196.0,196.0,191.9989776611328,0
2021-08-18,193.0,193.0,186.0,188.5,184.65208435058594,32176
2021-08-19,188.5,188.5,176.5,176.5,172.89703369140625,81060
2021-08-20,180.0,180.0,174.5,176.5,172.89703369140625,21001
2021-08-23,178.0,181.0,178.0,181.0,177.30517578125,32000
2021-08-24,183.0,183.0,178.5,180.0,176.32559204101562,16000
2021-08-25,179.5,180.5,179.0,180.5,176.81536865234375,23000
2021-08-26,180.5,180.5,176.0,176.0,172.40724182128906,26000
2021-08-27,176.0,176.0,175.0,175.5,171.91744995117188,14000
2021-08-30,176.0,179.5,175.5,178.0,175.72817993164062,13015
2021-08-31,178.0,179.0,177.0,179.0,176.71542358398438,13000
2021-09-01,178.5,183.5,178.5,182.5,180.17074584960938,64000
